"","hex","AREA"
"1","hex_1",1
"2","hex_2",1
"3","hex_3",1
"4","hex_4",1
"5","hex_5",1
"6","hex_6",1
"7","hex_7",1
"8","hex_8",1
"9","hex_9",1
"10","hex_10",1
"11","hex_11",1
"12","hex_12",1
"13","hex_13",1
"14","hex_14",1
"15","hex_15",1
"16","hex_16",1
"17","hex_17",1
"18","hex_18",1
"19","hex_19",1
"20","hex_20",1
"21","hex_21",1
"22","hex_22",1
"23","hex_23",1
"24","hex_24",1
"25","hex_25",1
"26","hex_26",1
"27","hex_27",1
"28","hex_28",1
"29","hex_29",1
"30","hex_30",1
"31","hex_31",1
"32","hex_32",1
"33","hex_33",1
"34","hex_34",1
"35","hex_35",1
"36","hex_36",1
"37","hex_37",1
"38","hex_38",1
"39","hex_39",1
"40","hex_40",1
"41","hex_41",1
"42","hex_42",1
"43","hex_43",1
"44","hex_44",1
"45","hex_45",1
"46","hex_46",1
"47","hex_47",1
"48","hex_48",1
"49","hex_49",1
"50","hex_50",1
"51","hex_51",1
"52","hex_52",1
"53","hex_53",1
"54","hex_54",1
"55","hex_55",1
"56","hex_56",1
"57","hex_57",1
"58","hex_58",1
"59","hex_59",1
"60","hex_60",1
"61","hex_61",1
"62","hex_62",1
"63","hex_63",1
"64","hex_64",1
"65","hex_65",1
"66","hex_66",1
"67","hex_67",1
"68","hex_68",1
"69","hex_69",1
"70","hex_70",1
"71","hex_71",1
"72","hex_72",1
"73","hex_73",1
"74","hex_74",1
"75","hex_75",1
"76","hex_76",1
"77","hex_77",1
"78","hex_78",1
"79","hex_79",1
"80","hex_80",1
"81","hex_81",1
"82","hex_82",1
"83","hex_83",1
"84","hex_84",1
"85","hex_85",1
"86","hex_86",1
"87","hex_87",1
"88","hex_88",1
"89","hex_89",1
"90","hex_90",1
"91","hex_91",1
"92","hex_92",1
"93","hex_93",1
"94","hex_94",1
"95","hex_95",1
"96","hex_96",1
"97","hex_97",1
"98","hex_98",1
"99","hex_99",1
"100","hex_100",1
"101","hex_101",1
"102","hex_102",1
"103","hex_103",1
"104","hex_104",1
"105","hex_105",1
"106","hex_106",1
"107","hex_107",1
"108","hex_108",1
"109","hex_109",1
"110","hex_110",1
"111","hex_111",1
"112","hex_112",1
"113","hex_113",1
"114","hex_114",1
"115","hex_115",1
"116","hex_116",1
"117","hex_117",1
"118","hex_118",1
"119","hex_119",1
"120","hex_120",2
"121","hex_121",2
"122","hex_122",2
"123","hex_123",2
"124","hex_124",2
"125","hex_125",2
"126","hex_126",2
"127","hex_127",2
"128","hex_128",2
"129","hex_129",2
"130","hex_130",2
"131","hex_131",2
"132","hex_132",2
"133","hex_133",2
"134","hex_134",2
"135","hex_135",2
"136","hex_136",2
"137","hex_137",2
"138","hex_138",2
"139","hex_139",2
"140","hex_140",2
"141","hex_141",2
"142","hex_142",2
"143","hex_143",2
"144","hex_144",2
"145","hex_145",2
"146","hex_146",2
"147","hex_147",2
"148","hex_148",2
"149","hex_149",2
"150","hex_150",2
"151","hex_151",2
"152","hex_152",2
"153","hex_153",2
"154","hex_154",2
"155","hex_155",2
"156","hex_156",2
"157","hex_157",2
"158","hex_158",2
"159","hex_159",2
"160","hex_160",2
"161","hex_161",2
"162","hex_162",2
"163","hex_163",2
"164","hex_164",2
"165","hex_165",2
"166","hex_166",2
"167","hex_167",2
"168","hex_168",2
"169","hex_169",2
"170","hex_170",2
"171","hex_171",2
"172","hex_172",2
"173","hex_173",2
"174","hex_174",2
"175","hex_175",2
"176","hex_176",2
"177","hex_177",2
"178","hex_178",2
"179","hex_179",2
"180","hex_180",2
"181","hex_181",2
"182","hex_182",2
"183","hex_183",2
"184","hex_184",2
"185","hex_185",2
"186","hex_186",2
"187","hex_187",2
"188","hex_188",2
"189","hex_189",2
"190","hex_190",2
"191","hex_191",2
"192","hex_192",2
"193","hex_193",2
"194","hex_194",2
"195","hex_195",2
"196","hex_196",2
"197","hex_197",2
"198","hex_198",2
"199","hex_199",2
"200","hex_200",2
"201","hex_201",2
"202","hex_202",2
"203","hex_203",2
"204","hex_204",2
"205","hex_205",2
"206","hex_206",2
"207","hex_207",2
