"","hex","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1","hex_1",-0.477952491401756,2.30136452985096,0.149589964443,-0.907531886421567,-1.12211665881557,-0.699622577483371,2.37449532574268,-0.589228891563371,-1.00812909056556,-1.18652283393538,-1.0840498721653,2.00907778639889,-0.930600513404746,-1.06593859551955,-1.35184146745793,-0.916532348587477,2.38591536289631,-0.645005017554672,-1.08419173716102,-1.25135459245678,-0.869956361626204,2.31505701484218,0.340120956225351,-0.733564817510961,-1.21086035612401,-0.880782670891319,2.28802933147493,-0.609089828765922,-0.741070454762847,-1.15379957858637,-1.00235996427716,1.86703270265831,-0.954022487917881,-1.18695630709297,-1.41695695597077,0,0,0,0.874829309580879,0
"2","hex_2",-1.09121991094182,-1.06955612394643,-1.26636852005031,-0.563456963076699,-0.710191432772594,0,-0.958713196942408,-1.15278025918636,-0.366396300333933,-0.718338098216636,0,-1.0255783344265,-1.22998044408066,0,-0.805760359874084,0,-1.09743235810087,-1.28923223350313,0,-0.933697874042522,0,-1.22515708056851,-1.40333803223752,0,-0.908351540542997,0,-0.934325752641363,-1.17334000169284,0,-0.727154674615945,0,-0.63382929984482,-0.89257312919224,0,-0.4337303859137,0,0,0,0,0
"3","hex_3",-1.3967413620717,-1.58731174470627,-1.35013909909489,-1.32999443190091,0,-1.39995957152698,-1.64242846783141,-1.50009177824606,-1.42036694094863,0,-1.26899299350718,-1.39851465713983,-1.28109870606686,-1.30963698459167,0,-1.37754245765397,-1.65032292755134,-1.4864229324004,-1.46575810900285,0,-1.38172744606372,-1.64209482731311,-1.39321840644678,-1.46977758632001,0,-1.18823571038753,-1.40570505171851,-0.992584487093824,-1.20605537887141,0,-1.4918492308335,-1.7152847338128,-1.33461683255346,-1.64246131285083,0,0,0,0,0,0
"4","hex_4",-1.72656422324716,-1.44424997380146,-1.33182027900011,-1.05992251175881,-1.18441326843028,-1.6748890093672,-1.4302685036157,-1.34481920230496,-1.07298449518385,-1.02115691980462,-1.56239100619389,-1.43856754214457,-1.29124196636893,-1.1909442601428,-1.17647414643526,-1.55413925985878,-1.46670386019356,-1.12334615158326,-1.17226552351418,-1.24208615664033,-1.41833881023773,-1.43832584450956,-0.97898133128701,-1.1001225215966,-1.09419576238604,-1.30270929224066,-1.32041863158169,-0.839003783012202,-1.14103183324187,-0.983492070459071,-1.68521197305421,-1.75041376229005,-0.959383107897676,-1.70254063456517,0,0,0,0,0,0
"5","hex_5",-1.51801127936923,-1.45612318764867,-1.4489052078879,-0.90364638434414,-1.52475375361599,-1.78325194624318,-0.919227760334982,-1.15729888811441,-1.17043967641498,-1.1307230618472,-1.35288180303615,-1.02136971150542,-1.24832817010964,-0.594903445049814,-1.22801800340861,-1.41454527421469,-1.12810646656077,-1.27690846940533,-0.723290188716732,-1.427759619139,-1.63038843372504,-1.14779401450028,-1.14479122666447,-0.815895742005716,-1.22808893011369,-1.52143965060665,-1.27006879243794,0.00872708359346028,-0.52782550427938,-1.54323939396992,-1.94078909069286,0,0,-0.611099561631726,0,0,0,0,0,0
"6","hex_6",-0.678413940199838,-1.53179571419507,-1.3161154242731,0,-1.28251734443847,-1.16782045120988,-1.40424701090913,-1.06386055428177,0,-1.12644088230237,-1.15902490257433,-1.14677732501894,0,0,-0.867234673863159,-1.01396914355905,-1.22149225994787,0,0,-1.13105408403238,-1.17820016089518,-1.44594446399405,0,0,-1.17427525637999,-1.19517652916076,-1.47124350529983,0,0,-0.84836942154928,-0.673742938186966,-1.01547185822907,0,0,-0.822854947038498,-1.71431927561043,-1.34531967466796,0,0,0
"7","hex_7",-0.526441020093752,1.94290094381251,-1.09236466703505,-1.31379831531899,-1.1150865270777,-0.576768522307181,2.05754792188001,-1.30367870111379,-1.18515148775752,-1.1441764860734,-0.94587451330728,1.91994002300484,-0.839500304704435,-1.40035889049858,-1.32588038178179,-1.11793168199137,1.74797743754971,0,-1.51387358315324,-1.58490006295019,-0.87887014074614,2.20086452611048,0,-1.10442308740097,-1.01426338163959,-1.19588584255379,1.80309152843908,0,-1.41128240248432,-1.52352032176308,-0.91040199659867,2.08926411765249,0,-1.10547131273518,-0.974601937436013,0,0,0,0,0
"8","hex_8",0,-1.3260222467775,-0.992996944073201,-1.15077315623922,-1.36170099776858,0,-1.51677916826843,-1.30438801450682,-1.30731987563755,-1.38709199354319,0,-1.21539212305983,-0.668183985266244,-1.1017986139441,-1.16032531046156,0,-1.47384434424537,-0.973679820756634,-1.15964384871815,-1.205201570564,0,-1.60135626342666,-1.17309305580606,0,-1.37697499767111,0,-1.51077622251546,-1.0271624838907,0,-1.54534371122323,0,-1.31049867106952,-1.05661279967094,0,-1.14847881288058,0,0,0,0,0
"9","hex_9",-0.266654225249453,-1.25618978481014,-0.947021250528671,-1.19199641297668,-1.33233518695189,-0.409227352632478,-1.53474857991847,-1.03714023310018,-1.53065554597756,-1.40934096640494,-0.908136118923533,-1.21837126479876,-1.46744996927679,-1.17649779253214,-1.1982029515079,-0.251309287056287,-1.21163272963723,-1.09717227420632,-1.17063408185623,-1.26603749786512,-0.365320501403172,-1.36695258618653,-1.04286207878038,-1.23285975318031,-1.27154654025897,-0.320911880229855,-1.45542569151131,-1.04853400234816,-1.37867736603415,-1.28173709275481,-0.172503936519574,0,-0.837836944870635,0,-1.54555650292403,0,0,0,0,0
"10","hex_10",-1.20464593942234,-0.334630636602388,-1.06928421121067,-1.08925155005639,-0.78601764157037,-1.516227476212,-0.415469366101783,-1.50054889750053,-1.48929173341094,-1.0910300933763,-1.34916969022176,-0.549790747149699,-1.4723311330718,-1.36458556670555,-1.16162572993433,-1.32815021012769,-0.489333122641963,-1.47590136930493,-1.35123722337042,-1.15982878876933,-1.4880990247479,-0.650051692442273,-1.5846426089743,0,-1.26107489927592,-1.32105701826964,-0.627910418804711,-1.19040044625682,0,-1.19382881749423,-0.856713110767689,-0.707094072134817,-1.51141460920341,0,-1.2013416957116,0,0,-1.93218267607569,0,0
"11","hex_11",-0.998517815308263,-0.718159449116274,-1.61029631856214,-1.1036494047212,-1.26678622528147,-1.50218032757294,-1.27475687154381,-1.59497239654719,-1.05967293595336,-1.30793461622862,-1.54593480571742,-1.25147281135562,-1.47188189198777,-1.04780367277691,-1.27963278708704,-1.40492217011618,-0.911046952290502,-1.51508993791315,-1.29544009278645,-0.843081049026674,-1.46197769940204,-1.18510944381555,-1.47642153709404,-1.29649093645378,-0.749133055494034,-1.24499437167418,-0.930482294505907,-1.66729929581692,-1.4190376271272,-0.859313949713232,-1.38690073937012,-1.09775661432791,-1.14899984958555,-1.48464963733227,0,0,0,0,0,0
"12","hex_12",-0.444096957591229,-0.822329530997609,-0.31114692272117,-0.875391847396308,-0.757242936833428,-0.445331698610697,-0.768946700502831,-0.324487364714767,-0.711113549451973,-0.587171866503812,-0.528014649883304,-0.871821611163176,-0.347989476441079,-0.877283361363273,-0.823800709814755,-0.938846999902531,-1.02290656877587,-0.504071198414502,-1.4570545032506,-0.946836044009968,-0.852126185053217,-0.932350162375997,-0.49692283619225,-0.990939919013642,-0.908966281134067,-0.701324945846413,-0.991909327886774,-0.470772604912183,-1.20167861493907,-0.953204142963012,-1.19611440218102,-0.985217644668289,-0.650258702956234,-1.1569915120261,-0.953562750330295,0,0,0,0,0
"13","hex_13",-0.407701003451135,-1.00360783171885,-0.927190528426881,0.759120979756952,-0.712274733847692,0.0786186550102394,-0.93473820962074,-0.999782771428492,0.55152167798428,-0.877969040244975,-0.0307819875252976,-0.594998017851775,-0.588070337086314,0.455361656388597,-0.619280369676207,-0.987435361233815,-1.4191479678556,-1.57184596928115,0.293137760536483,-1.48271083117155,-0.740006484673298,-1.48020457661351,-1.62738827580789,0.107818954734328,-1.19011671626539,-0.357163339455569,-1.12826409948292,-0.875651931290861,0.0134795204005241,-0.862340372060379,-1.10828125917829,-1.38983819631897,-1.60631099543097,-0.113020969136752,-1.46222885084157,0,0,-2.04086612704775,0,0
"14","hex_14",-1.58149533780966,-1.19711533532148,-1.35926566991562,-1.69330766210127,-1.57314901867258,-1.63738967111425,-1.22607919724789,-1.47781652936877,-1.55499044983307,-1.28005837048864,-1.48155227669449,-1.20013650941684,-1.47961610045244,-1.72249220548447,-1.70758861861934,-1.62932708196861,-1.20087471715853,-1.45982347162185,-1.64479023906061,-1.60565947073525,-1.71491824827507,-1.28419606670463,-1.60414625956168,-1.68425201798562,-1.64497939625008,-1.85129666596809,-1.41187349697852,-1.7094801325863,-1.82694337585303,-1.73142174094529,-1.06223331817657,-0.646433631080329,-0.722776856399037,-1.56165672595188,-1.24835049545441,0,0,0,0,0
"15","hex_15",-0.897548877374757,-0.468011514711373,0.352470984753147,-0.34116950648535,-0.0187682294344676,-0.8030413020297,-0.486377626999903,1.12533715936107,-0.441926961884612,0.261268313494884,-0.810068815434449,-0.395679355604317,0.59804775441868,-0.339054681142931,0.106799635334324,-0.892833213086795,-0.680917576424758,0.464940091260692,-0.410078542606771,0.0149349428767823,-0.563669754777499,-0.193594354904267,1.28285328068121,-0.191088100346231,0.732799987973958,-0.593886755568473,-0.500422145720295,1.17371271972311,-0.237784936125004,0.631911172192424,-0.981722980943696,-0.48208440643091,0.727858398611643,-0.243039675811141,0.360710645047952,0,0,0,0,0
"16","hex_16",-1.02931408175222,-0.0196929644469641,0.483450691512272,-0.533760141660378,0.0737716454012123,-0.723432053712446,0.0836311757118586,0.566204582234065,-0.356052065586721,-0.0460323529164998,-1.48253744190852,-0.744827218266784,-0.198052565216338,-1.12252123762451,-0.283951096025561,-1.38877334572802,-0.708985597687328,-0.127414884716335,-1.10457284215268,-0.224851679687914,-1.41227544586879,-0.316590286661717,-0.14141212282852,-0.816447434062146,-0.227145154130695,-1.46880817744687,-0.250434462570663,0.106660400257271,-0.990939919013642,-0.376929692270614,-1.01692463920111,0.24432740858185,0.260673279915467,-0.522759782756175,-0.305548555777138,0,0,0,0,0
"17","hex_17",-1.32852851292109,-1.22231980382529,-1.1100109462559,-1.22189420883814,-0.858841062532332,-1.3812782049797,-1.1772780442158,-1.24539632056445,-1.27251594913211,-0.956443368596503,-1.55590730667513,-1.41010020191039,-1.36177455439232,-1.5245606573413,-1.11596398148199,-1.51550501322565,-1.23809032542005,-1.24695681234624,-1.4053714112002,-1.08880230897237,-1.59040910534405,-1.3645382745118,-1.3360945803745,-1.56116152501175,-1.19248111741325,-1.64301694399249,-1.40943816912557,-1.49592780601453,-1.702434232922,-1.26852011791183,-1.32940333740671,-1.14908260513184,-1.39568920923782,-1.24582190396606,-1.02892396170316,0,0,0,0,0
"18","hex_18",-0.944101218239152,-0.36146653517861,-0.781809018649291,-0.0054593001226483,-0.0898446197582986,-1.41641577200344,-0.861780801833505,-1.14690868192555,-0.531133026699295,-0.588803296576224,-1.36981087910797,-0.852740925644288,-1.16791502401184,-0.45469470722911,-0.571401333323501,-1.38156193497113,-0.848059415542308,-1.15635312533816,-0.536715637302439,-0.5085793076679,-1.09275084799889,-0.644011962584662,-1.00978416673485,-0.313753009918496,-0.280533232877253,-0.905910952852719,-0.611409556053154,-0.912504993099877,-0.346943881025537,-0.0608203392159089,0,0,0,0,0,0,0,0,0,0
"19","hex_19",-0.420588276861031,-0.896257645238988,-0.987878033313954,-0.987736168318238,-1.30227187999785,-0.662785272015243,-1.02820281946892,-1.01924174815523,-1.20257708552157,-1.49625882819971,-0.721204269308515,-1.0690412044091,-1.08432834231941,-1.33428713112038,-1.52132930987825,-0.857727170330366,-1.13053391624328,-1.20849070672436,-1.38639318823926,-1.5844665897926,-0.92483138711634,-1.17162713682624,-1.06234471318954,-1.32387064891598,-1.60490286514846,-1.03553244912465,-1.31459958318087,-1.12714757736229,-1.66182440760905,-1.57272079376677,-1.01857972695595,-1.27864762187302,-1.12963544566077,-1.77373656453995,-1.58886436990315,0,0,0,0,0
"20","hex_20",-1.5517275781027,-1.17907498538081,-1.01661727469835,-1.44710301847111,-1.15096230184314,-1.47904602213646,-1.2246369127794,-1.11674948141744,-1.54962326084939,-1.13679956422391,-1.70380559068541,-1.2253225916611,-1.21197687824464,-1.6266316702211,-1.38608844206962,-1.59159130591798,-0.888017727745089,-1.10272860879392,-1.38553412009453,-1.22468419338761,-1.73709629443173,-1.11372304748475,-1.21775651262215,-1.45838118715337,-1.35999862940553,-1.65374342061831,-1.24800109859522,-1.34756190624622,-1.55695289050512,-1.51226578759216,0,0,-1.06525291663785,-1.23473288088772,-1.08213471210146,0,0,0,0,0
"21","hex_21",-1.13382042248498,-1.0104225534228,-0.520495874623649,-0.745728318767949,-1.088104812835,-1.34942977411631,-1.09322373517979,-0.617790804599512,-0.509950665431301,-1.20411394279202,-1.47577264231698,-1.3321985817935,-1.08743884096495,-1.28238598753186,-1.57125224486829,-1.32815021012769,-1.11722235701279,-0.79741404073701,-0.631102363829994,-1.26622665505459,-1.35188874806614,-1.18694842892252,-0.932633892367428,-0.871088640087721,-1.264264202797,-1.44304150879753,-1.39401967430865,-1.14333318585509,-1.06294106752106,-1.43144282601919,-1.18814244675212,-1.191535354637,-0.45943926586573,-1.07573507729555,-1.32995502946314,0,0,0,0,0
"22","hex_22",-0.993930889593789,-1.59752594329898,-0.832194309560035,-0.930789670594214,-1.60915878026329,-1.11755337919798,-1.58170812951046,-0.986069263307739,-0.838814625822735,-1.51690000550038,-1.36632733750636,-1.68969276359304,-1.27907320527462,-1.28130624951588,-1.69251165407672,-1.16224048211095,-1.42308073895569,-1.0318203478958,-0.83233617455575,-1.35378027361865,-1.09336560017551,-1.49370528144792,-0.96490791821796,-0.791550330061098,-1.44448641159913,-0.886501886652854,-1.55176304145525,-0.907153572042631,-0.684193574577351,0,-0.910999660096749,0,-0.846617131073821,-0.953617920694493,0,0,0,0,0,0
"23","hex_23",-0.972757715662801,-0.250008867583516,-1.05440033135719,-0.228516500308553,-0.743694939805268,-0.93944335423405,-0.107955907989599,-0.836568443573707,-0.116798748818903,-0.795664380180215,-1.14079276552553,-0.469561509989593,-1.28140082231784,-0.39457335315834,-0.856728878694122,-1.24965223567929,-0.64779500210414,-1.44556616120066,-0.510518113828619,-1.13176339742542,-1.39877474103438,-0.853284739530272,-1.32465090059965,-0.739911900285792,-1.1629261494071,-1.20021269595925,-0.414405384426689,-1.24643665614267,-0.385157792508848,-1.03158391009812,-1.25211119804357,-0.446452414698532,-1.10796771958016,-0.298190553122264,-0.900043048209599,0,0,0,0,0
"24","hex_24",-0.947730563921704,-1.37695136315978,-1.58473456344315,-1.1567787203253,-1.49856410831261,-1.15495813306342,-1.34924062851239,-1.75996000788455,-1.22529894556422,-1.57605722212089,-1.12236623462102,-1.44088465109868,-1.79724655443671,-1.26419064617325,-1.62928767953084,-1.28914553887161,-1.23160399598263,-1.70678210250568,-1.20050692245425,-1.67579010986837,-1.27407645249943,-1.29521416307788,-1.7682826925103,-1.21529753867232,-1.65152088446616,-1.46593674651767,-1.22829910348137,-1.68015373579293,-1.1691944273064,-1.36986998855739,-1.48277387970619,-1.53948787871776,-1.67939713020615,-1.09824413405186,0,0,0,0,0,0
"25","hex_25",0.225334738446584,-0.209737931040646,-0.994515415084099,-0.303417962508288,0.187843278364076,0.257713833602641,-0.254272660868792,-0.904818076828966,-0.277701204385813,0.170714537013677,0.179081883914507,-0.230313441473556,-0.834369565103977,-0.34564872139009,0.195065197210075,0.141740166998159,-0.273095892411788,-1.24837283238473,-0.457834100223313,0.08178169410132,0.370030572818136,-0.125948965736516,-1.24827693883066,-0.313540218217695,0.232871911551336,0.231051324289455,-0.218846115601832,0,-0.369954719311398,0.167590911945906,0.287791599316561,0,0,-0.259616203755596,0.265402070625656,0,0,0,0,0
"26","hex_26",-0.457342826782862,1.62751141571561,-0.0354634976272753,0.731144909487561,0.706413318896215,-0.921001066988654,1.30387276888515,-0.383904665229829,-0.0709767375257547,0.379251721075051,-1.0029037665776,1.20934155439454,-0.584694506294433,-0.0571056080683982,0.385717032017156,-0.725299933168082,1.14791714977378,-0.365486012495765,0.217077732274147,0.363339329850351,-1.29017799627938,0.995484482811677,-0.784386211497958,-0.407406765370597,0.0881944669149989,-1.19884133819585,1.07242195736842,-0.808313906625874,-0.07606018493246,0.217290535560494,-1.13211806570748,1.23621555203474,-0.83321101062692,0.328653630353626,0.495816486807944,0,0,0,0,0
"27","hex_27",-1.08195869291976,-0.333956774976353,-0.684489121824448,-0.624915520724886,-0.595573356005083,-1.00968959393289,-0.112054190182283,-0.763059355315587,-0.653824212287098,-0.419633326747772,-0.973230591258155,-0.0419892295024685,-0.75398006510306,-0.6401579963601,-0.315644523885461,-1.16869790561417,-0.0577833971941112,-0.934864306690022,-0.776176497519276,-0.297415028340867,-1.23047696577289,-0.517056983711581,-0.883241644841148,-0.722557229226822,-0.675290315132068,-1.30623224786558,-0.334205041615241,-0.941996900985841,-0.750882704465285,-0.545227467532103,-1.24539158207664,-0.33238445435336,-0.868350373410108,-0.771559356704042,-0.432420118727872,0,0.0505798640771234,0,0,0
"28","hex_28",0.37390818398102,0.269094464842848,0.643094769231273,0.0954058776718914,0.437084868650248,-0.157135363815077,0.177781464441736,0.00768674801524228,-0.798194292420674,-0.403221788546396,-0.113725034278004,0.000262545557549027,0.122312714538743,0.0641485413026999,-0.0405469450339805,-0.31923840621547,0.499859605587759,0.0923557976423235,-0.727262385425677,-0.125783454643924,0.724217227563544,0.673098966735901,0.854921087135901,0.0192959388826831,0.703788838488012,0.779402250950769,0.201514754128402,0.890578819631651,0.0927840225481339,0.700594275129611,-0.139742587899357,0.663678157834627,0.290793726776324,-0.721782886170991,-0.203950418492691,0,0,0,0,0
"29","hex_29",-0.916364219161766,-0.587248053046223,-1.29625711698921,-1.0361156654484,-1.14162293932161,-1.04040310483055,-0.59504531004553,-1.29928092100324,-1.05962565534516,-1.12644351222104,-0.964269519944468,-0.695437600659168,-1.31824338762329,-1.01262144347807,-1.0679956205791,-0.9165087024906,-0.731471008346756,-1.39258001975883,-1.03144204510241,-1.11438508026957,-0.980489282623258,-0.655417815555836,-1.4657108168091,-0.943888426538352,-1.12266047270156,-0.413932508831333,0,-1.25516127807314,-0.416651566675717,-0.666331873737043,-0.760001397115576,0,-1.32567940733665,-0.864049494796022,-1.00317567931337,0,0,0,-0.732251260030419,-1.10547131273518
