,hex,1,2,3,4,5,6,7,8,total
1,hex_1,49,46,118,61,26,82,84,0,466
2,hex_2,54,3,26,48,24,32,3,NA,190
3,hex_3,173,239,179,81,464,137,87,NA,1360
4,hex_4,33,96,119,167,170,93,31,NA,709
5,hex_5,194,380,253,123,147,57,0,NA,1154
6,hex_6,179,128,128,218,132,102,93,6,986
7,hex_7,45,105,54,128,118,200,126,NA,776
8,hex_8,348,100,43,71,66,289,150,NA,1067
9,hex_9,324,374,405,436,432,486,101,NA,2558
10,hex_10,884,410,1107,1011,175,236,435,2,4260
11,hex_11,111,176,266,256,206,75,19,NA,1109
12,hex_12,234,305,382,135,238,276,196,NA,1766
13,hex_13,117,149,176,268,448,296,292,12,1758
14,hex_14,209,468,231,87,88,229,164,NA,1476
15,hex_15,264,101,87,91,101,37,28,NA,709
16,hex_16,240,287,394,385,346,169,72,NA,1893
17,hex_17,178,421,212,141,286,327,48,NA,1613
18,hex_18,196,125,173,180,163,103,NA,NA,940
19,hex_19,108,157,240,242,91,141,13,NA,992
20,hex_20,223,364,394,633,824,479,27,NA,2944
21,hex_21,41,243,53,161,130,356,47,NA,1031
22,hex_22,252,353,231,424,256,121,50,NA,1687
23,hex_23,738,316,68,97,271,197,54,NA,1741
24,hex_24,684,387,407,460,450,474,323,NA,3185
25,hex_25,156,98,81,69,28,15,56,NA,503
26,hex_26,140,225,190,204,242,131,5,NA,1137
27,hex_27,181,74,104,34,142,151,59,8,753
28,hex_28,3,12,2,3,4,6,1,NA,31
29,hex_29,78,298,147,256,184,417,222,0,1602
30,hex_30,280,183,320,135,282,351,77,NA,1628
31,hex_31,276,177,143,112,189,81,109,NA,1087
32,hex_32,2,16,2,0,37,69,43,NA,169
33,hex_33,28,279,450,242,254,219,0,NA,1472
34,hex_34,29,173,357,386,248,265,19,NA,1477
35,hex_35,252,196,164,200,216,111,222,17,1378
36,hex_36,4,21,20,46,22,52,NA,NA,165
37,hex_37,15,19,116,78,171,300,67,NA,766
38,hex_38,0,0,1,0,0,0,0,NA,1
39,hex_39,26,11,224,176,118,294,15,NA,864
40,hex_40,34,227,263,119,202,393,126,NA,1364
41,hex_41,211,74,47,8,126,141,80,NA,687
42,hex_42,107,176,252,69,104,11,136,NA,855
43,hex_43,599,1217,1101,813,970,518,51,NA,5269
44,hex_44,5,14,2,16,5,2,1,NA,45
45,hex_45,0,23,344,69,17,29,4,NA,486
46,hex_46,46,137,148,208,187,175,69,NA,970
47,hex_47,55,18,2,16,102,149,NA,NA,342
48,hex_48,76,25,29,45,150,145,118,NA,588
49,hex_49,55,19,117,163,21,9,10,NA,394
50,hex_50,45,359,205,247,257,339,0,NA,1452
51,hex_51,3,0,3,41,131,44,22,NA,244
52,hex_52,4,0,0,11,3,20,11,NA,49
53,hex_53,131,2,90,2,0,42,28,NA,295
54,hex_54,2,52,48,90,148,19,9,NA,368
55,hex_55,6,197,58,9,53,67,17,NA,407
