"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2280,3000,1860,2700,2640,NA,NA,NA,478,NA
"2",1500,3120,3120,3120,3120,NA,3360,3360,900,3360,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,1200,1200,NA,1200,NA,NA,NA,NA,NA
"3",3120,3120,3120,3120,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,720,720,720,720,NA,NA,NA,NA,NA,NA
"4",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1320,2160,2580,2520,1320,NA,NA,NA,NA,NA,NA
"5",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,720,3360,720,240,NA,NA,240,NA,NA,NA,NA,NA,NA
"6",3120,3120,3120,NA,3120,3360,3360,3060,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,2580,660,360,NA,NA,NA
"7",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,240,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,2640,2820,NA,3358,3118,NA,NA,NA,NA,NA
"8",NA,3120,3120,3120,3120,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,2340,3360,NA,3360,3360,NA,3360,NA,3360,3360,NA,3360,NA,1200,2640,NA,1200,NA,NA,NA,NA,NA
"9",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,3360,3120,3360,1980,NA,1856,NA,240,NA,NA,NA,NA,NA
"10",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3300,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,240,3240,3360,NA,1920,NA,NA,60,NA,NA
"11",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,2400,3180,240,240,NA,NA,NA,NA,NA,NA
"12",3120,3056,3120,3120,3120,3360,3356,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2640,2640,1980,2940,2640,NA,NA,NA,NA,NA
"13",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2336,2640,3360,3120,2040,NA,NA,120,NA,NA
"14",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2160,2160,2160,1847,2640,NA,NA,NA,NA,NA
"15",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2160,2160,2100,2160,2160,NA,NA,NA,NA,NA
"16",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1620,2340,2700,1560,3120,NA,NA,NA,NA,NA
"17",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3359.8,3360,720,720,720,720,720,NA,NA,NA,NA,NA
"18",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3296,3360,3360,3360,3360,3360,3360,3120,3120,3120,3120,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1200,1200,1200,1020,1200,NA,NA,NA,NA,NA
