"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-107.0907483,-83.10122449,-101.6741497,-110.7986395,-112.6508163,-109.0040816,-82.47,-108.0512245,-111.6669388,-113.2067347,-112.3222449,-85.62408163,-110.9977551,-112.1659184,-114.6336735,-110.8763265,-82.37142857,-108.5326531,-112.3234694,-113.7663265,-110.4743084,-82.98303855,-100.0295918,-109.2970522,-113.4168027,-110.5677551,-83.21632653,-108.2226531,-109.3618367,-112.9242857,-111.6171429,-86.85013605,-111.1999206,-113.2104762,-115.1957143,NA,NA,NA,-95.41428571,NA
"2",-112.3841327,-112.1971429,-113.8959184,-107.8287755,-109.0953061,NA,-111.2404082,-112.9154875,-106.1278571,-109.1656236,NA,-111.817551,-113.5818367,NA,-109.9202041,NA,-112.4377551,-114.0932653,NA,-111.0244898,NA,-113.5402041,-115.0781633,NA,-110.8057143,NA,-111.0299093,-113.0929478,NA,-109.2417234,NA,-108.4361905,-110.6695238,NA,-106.7090476,NA,NA,NA,NA,NA
"3",-115.0212245,-116.6661224,-114.6189796,-114.445102,NA,-115.0490023,-117.1418594,-115.913288,-115.2251474,NA,-113.9185714,-115.0365306,-114.0230612,-114.2693878,NA,-114.8555102,-117.21,-115.7953061,-115.6169388,NA,-114.8916327,-117.1389796,-114.9908163,-115.6516327,NA,-113.2215193,-115.0985941,-111.5327664,-113.3753288,NA,-115.8421429,-117.7707143,-114.485,-117.1421429,NA,NA,NA,NA,NA,NA
"4",-117.8680726,-115.4312925,-114.4608617,-112.1139909,-113.1885261,-117.4220408,-115.3106122,-114.5730612,-112.2267347,-111.7793878,-116.4510204,-115.3822449,-114.1106122,-113.244898,-113.12,-116.3797959,-115.625102,-112.6614286,-113.0836735,-113.6863265,-115.2076417,-115.3801587,-111.4153515,-112.4609751,-112.4098186,-114.2095918,-114.362449,-110.2071429,-112.8140816,-111.4542857,-117.5111429,-118.0739286,-111.2461905,-117.6607143,NA,NA,NA,NA,NA,NA
"5",-116.0679592,-115.5337755,-115.4714739,-110.765102,-116.1261565,-118.3573696,-110.8995918,-112.9544898,-113.0679138,-112.725102,-114.6426531,-111.7812245,-113.7402041,-108.1002041,-113.564898,-115.174898,-112.702517,-113.9868934,-109.2083673,-115.2889569,-117.0379365,-112.872449,-112.8465306,-110.0076871,-113.5655102,-116.097551,-113.9278571,-102.89,-107.5212245,-116.2857143,-119.7171429,NA,NA,-108.24,NA,NA,NA,NA,NA,NA
"6",-108.8210204,-116.1869388,-114.3253061,NA,-114.0353061,-113.0453061,-115.0860091,-112.1479819,NA,-112.6881406,-112.9693878,-112.8636735,NA,NA,-110.4508163,-111.7173469,-113.5085714,NA,NA,-112.7279592,-113.134898,-115.4459184,NA,NA,-113.1010204,-113.2814286,-115.6642857,NA,NA,-110.2879819,-108.7807029,-111.7303175,NA,NA,-110.0677551,-117.762381,-114.577381,NA,NA,NA
"7",-107.5092744,-86.19528345,-112.3940136,-114.3053061,-112.5901361,-107.9436735,-85.20571429,-114.2179592,-113.194898,-112.8412245,-111.1295918,-86.39346939,-110.2114286,-115.052449,-114.4095918,-112.6146939,-87.8777551,NA,-116.0322449,-116.6453061,-110.5512472,-83.96868481,NA,-112.4980952,-111.7198866,-113.287551,-87.40204082,NA,-115.1467347,-116.1155102,-110.8234127,-84.93195767,NA,-112.5071429,-111.377551,NA,NA,NA,NA,NA
"8",NA,-114.4108163,-111.5363265,-112.8981633,-114.7187755,NA,-116.0573243,-114.2240816,-114.2493878,-114.9379365,NA,-113.4559184,-108.7327211,-112.4754422,-112.9806122,NA,-115.6867347,-111.3695918,-112.9747302,-113.3679592,NA,-116.7873469,-113.0908163,NA,-114.8506122,NA,-116.0055102,-111.8312245,NA,-116.3038776,NA,-114.2768254,-112.0854233,NA,-112.8783598,NA,NA,NA,NA,NA
"9",-105.2669388,-113.8080612,-111.1394898,-113.2539796,-114.4653061,-106.497551,-116.2124263,-111.9173469,-116.1770975,-115.1299773,-110.8038549,-113.4816327,-115.631542,-113.1202041,-113.307551,-105.1344898,-113.4234694,-112.4355102,-113.0695918,-113.8930612,-106.1185714,-114.7641043,-111.9667347,-113.6066893,-113.9406122,-105.7352608,-115.5277551,-112.0156916,-114.8653061,-114.0285714,-104.4542857,NA,-110.1970714,NA,-116.3057143,NA,NA,NA,NA,NA
"10",-113.3631633,-105.8536735,-112.1947959,-112.3671429,-109.7497959,-116.0525624,-106.5514286,-115.9172336,-115.820068,-112.3824943,-114.6106122,-107.7108163,-115.6736735,-114.7436735,-112.9918367,-114.4291837,-107.1889796,-115.7044898,-114.628458,-112.9763265,-115.8097732,-108.5762132,-116.6430839,NA,-113.8502268,-114.3679592,-108.385102,-113.2402041,NA,-113.2697959,-110.36,-109.0685714,-116.0110204,NA,-113.3346429,NA,NA,-119.6428571,NA,NA
